, SV5_10A.CEL, SV5_10B.CEL, SV5_10C.CEL, SV5_12A.CEL, SV5_12B.CEL, SV5_12C.CEL, SV5_14A.CEL, SV5_14B.CEL, SV5_14C.CEL, SV5_16A.CEL, SV5_16B_3.CEL, SV5_16C.CEL, SV5_18A.CEL, SV5_18B.CEL, SV5_18C.CEL, SV5_20B.CEL, SV5_20C.CEL, SV5_8A.CEL, SV5_8B.CEL, SV5_8C.CEL, SV8_10A.CEL, SV8_10B.CEL, SV8_10C.CEL, SV8_12A.CEL, SV8_12B.CEL, SV8_12C.CEL, SV8_14A.CEL, SV8_14B.CEL, SV8_14C.CEL, SV8_16A.CEL, SV8_16B.CEL, SV8_16C.CEL, SV8_18A.CEL, SV8_18B.CEL, SV8_18C.CEL, SV8_20A.CEL, SV8_20B.CEL, SV8_20C.CEL, SV8_22A.CEL, SV8_22B.CEL, SV8_22C.CEL, SV8_8A.CEL, SV8_8B.CEL, SV8_8C.CEL
SMD00402,6.0765236,5.881616807,5.902015308,6.623586073,6.310537281,6.281255919,7.016268179,6.67269338,6.471445974,7.445987841,7.743425526,8.325051782,7.070328515,7.296415201,6.855214219,7.090517427,6.857071345,6.189514841,5.953778698,6.009903523,6.414262492,6.257269579,6.495865979,6.279555097,6.39577363,6.378481253,6.045655059,6.194027734,6.534073211,8.458277356,6.745337719,7.591234741,7.596474445,8.614806255,7.169690811,8.373715433,9.16249541,8.604845091,7.988764561,7.988635135,8.54437159,6.505499185,6.479242318,6.242960908
SMD00402.2,4.848060249,5.070004989,5.346033693,5.697400088,5.449512947,5.487249925,6.049040489,5.620469703,5.645329776,6.331821392,6.859163322,7.335442606,6.022976422,6.220028115,6.11749619,6.386666748,6.06896384,5.098509748,5.18439297,5.190546988,5.30159708,5.091919765,5.371596619,5.297321951,5.347952491,5.41530109,5.354432867,5.599668582,5.662802853,6.936442455,5.986574216,6.181051715,5.986029367,7.549516633,6.124232722,7.29615445,7.441352404,6.996418817,6.276361238,6.627769755,7.239800078,5.343472103,5.653043778,5.227606382
SMD00402.3,5.404729538,5.227433166,5.389566786,5.622426803,5.628811748,5.558727439,5.66139657,5.637429915,5.36719527,6.131228006,6.167248702,6.126278949,5.848343055,5.982658687,5.728760605,5.950883866,5.506366715,5.427413529,5.523401316,5.494766354,5.368192323,5.318617299,5.438671569,5.359784857,5.391744602,5.28879601,5.506092334,5.677805838,5.367658585,5.771699485,5.444831942,5.349176627,5.566970609,6.497963793,5.61020717,6.180648921,6.355869892,6.169405217,5.887658923,5.737439771,6.101470617,5.594722004,5.435796581,5.390607472
SMD00403,5.559602446,5.543993679,5.580705351,5.583002277,5.596960612,5.655071504,5.772020193,5.594836779,5.777948693,5.65245214,5.716403223,5.731784144,5.842357504,5.763020603,5.970126048,5.655004046,5.77157028,5.690548515,5.743425921,5.709678602,5.762342964,5.832425279,5.640277338,5.636449388,5.528877821,5.606988609,5.828794123,5.663682206,5.773627127,5.742115537,5.678766265,5.802831532,5.579008887,5.669490788,5.748715046,5.874094503,5.905431638,5.819496255,5.898557625,5.908641047,6.030769985,5.69385956,5.64501216,5.927700076
SMD00403.2,4.992323333,5.026787638,5.091909453,5.134043223,5.071856489,4.931656657,5.088380041,5.099131295,5.069155166,5.075011439,5.123830732,5.077859794,5.077315916,5.076608728,5.270073233,5.038763616,5.179786655,5.140983528,5.058458275,5.055276449,4.978884806,5.067761055,5.267936672,5.114867961,5.061972127,5.053847688,5.018827875,5.01249835,4.89557011,4.923723889,4.999162992,4.893631084,5.026185639,4.993349816,5.221988305,5.028806783,5.049356428,5.189920927,5.368244947,5.192557972,5.158003981,5.356428509,5.220209258,5.160476164
SMD00403.3,4.739541962,4.807070399,4.768904061,4.713063308,4.870426052,4.804395756,4.825615168,4.827765164,4.761880538,4.897045328,4.963580067,4.942130126,4.932220069,4.849876044,4.788968295,4.832488411,4.970057824,4.868236453,4.901337189,4.916908657,4.824468629,4.913269745,4.701798411,4.783320733,4.687410234,4.742739747,4.761603662,4.791738034,4.861933516,4.826158786,4.836744343,4.81333081,4.976225097,4.836938017,4.757886549,4.778708604,4.88661332,4.867171068,4.790573395,4.826310937,4.88129217,4.903544493,4.849638314,4.848480357
SMD00403.4,5.386862722,5.369523427,5.361933788,5.422459659,5.337373206,5.445868664,5.469084738,5.454305089,5.413781848,5.415743169,5.364159623,5.438796998,5.402727766,5.489980489,5.462047682,5.379591822,5.477303085,5.438501793,5.392942454,5.431749487,5.477485504,5.693306872,5.386189525,5.817312561,5.382644387,5.444548793,5.528863316,5.342574715,5.453976485,5.487048228,5.574743362,5.545476191,5.614850393,5.508782665,5.654391033,5.785411138,5.822199458,5.841550828,5.551674391,5.588219867,5.528124973,5.470857746,5.432596197,5.97578801
SMD00404,4.870310888,4.828122754,4.85716864,4.832732169,4.871979896,4.835972979,4.910242481,4.865164129,4.828649372,4.890179622,4.856122331,4.803947511,4.842888758,4.854756527,4.852736529,4.793387126,4.915488257,4.811232536,4.795149407,4.889064239,4.795031295,4.819701551,4.841573523,4.769932471,4.734644793,4.790190726,4.782457757,4.861670651,4.809286855,4.810167508,4.837856891,4.955111279,4.868836771,4.828710381,4.891313727,4.825936846,4.809906603,4.839343526,4.818734369,4.79292312,4.855451019,4.898989483,4.839963851,4.935919032
SMD00406,5.13642033,5.256297753,5.353104608,5.458474957,5.443459706,5.434570814,5.591974205,5.523156413,5.417028872,5.697384632,5.683723004,5.703352035,5.55930171,5.552180492,5.57325766,5.593390261,5.561938526,5.413728102,5.440783109,5.411438419,5.543957213,5.674966629,5.461022221,5.435600917,5.312807787,5.536015172,5.538687991,5.534574117,5.599142078,5.702981565,5.672138133,5.796628742,5.627404105,5.753233197,5.515533325,5.741379519,5.663028422,5.665577466,5.698622586,5.768042498,5.564687763,5.615862825,5.68599149,5.472510398
SMD00406.2,5.86673441,5.944279543,5.719981995,5.718936514,5.753407129,5.748356802,5.905874696,5.96578608,5.845689019,5.905383156,5.84706129,5.869609616,5.80197601,5.882115683,5.775476309,5.907610332,5.70119556,6.010364157,5.943273735,5.962549676,5.80267662,6.247501293,5.889582064,5.891871584,5.893683077,5.699729195,5.763609857,5.651227735,5.871600966,5.960285219,5.912175993,5.846091934,5.794885233,5.934707272,5.912164954,5.971478898,6.207696195,6.08405606,5.925827102,5.922341098,5.99695905,5.921359688,5.924039513,6.134832687
