# WARNING: this file is not sorted!
# db	id                         alt	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   1	1                         MEME	3.2e-020	   6.4e-023	         -51.10	         0.0	       46	        482	          30	         36	  0.09544	2.7e-025	       240
   1	2                         MEME	3.9e-002	   7.8e-005	          -9.46	         0.0	      100	        490	          13	         16	  0.20408	3.2e-007	       244
   2	EXPREG_00000020 LexA_C.glutamicum	6.3e-001	   1.3e-003	          -6.67	         0.0	       44	        484	          10	         21	  0.09091	5.3e-006	       241
   2	EXPREG_00000050  PhoP_Y.pestis	9.2e-005	   1.8e-007	         -15.50	         0.0	       38	        480	          11	         15	  0.07917	7.7e-010	       239
   2	EXPREG_000000e0 CcpA_S.pneumoniae	4.8e0000	   9.6e-003	          -4.65	         0.0	       89	        481	           6	          6	  0.18503	4.0e-005	       240
   2	EXPREG_00000290 LuxR_V.campbellii	8.1e-001	   1.6e-003	          -6.42	         0.0	       46	        480	           7	         10	  0.09583	6.9e-006	       239
   2	EXPREG_00000370 Fur_A.ferrooxidans	2.1e-001	   4.2e-004	          -7.77	         0.0	       44	        480	          10	         19	  0.09167	1.8e-006	       239
   2	EXPREG_000007c0     Fur_E.coli	3.3e0000	   6.7e-003	          -5.01	         0.0	       58	        470	           5	          5	  0.12340	2.9e-005	       234
   2	EXPREG_00000810 OmpR_S.enterica	1.8e-003	   3.6e-006	         -12.53	         0.0	       36	        492	          12	         23	  0.07317	1.5e-008	       245
   2	EXPREG_00000840     Lrp_E.coli	8.2e-001	   1.7e-003	          -6.40	         0.0	      176	        486	          19	         23	  0.36214	6.8e-006	       242
   2	EXPREG_000008b0 Fur_V.cholerae	8.2e-003	   1.6e-005	         -11.01	         0.0	       62	        478	          10	         12	  0.12971	6.9e-008	       238
   2	EXPREG_000008e0 PhoP_S.enterica	2.7e-001	   5.4e-004	          -7.52	         0.0	       56	        474	           7	          8	  0.11814	2.3e-006	       236
   2	EXPREG_00000950    PhoP_E.coli	3.0e0000	   6.1e-003	          -5.10	         0.0	       34	        478	           4	          4	  0.07113	2.6e-005	       238
   2	EXPREG_000009a0 AmpR_P.aeruginosa	1.6e-004	   3.2e-007	         -14.96	         0.0	       57	        485	          19	         35	  0.11753	1.3e-009	       242
   2	EXPREG_00000b00    CsgD_E.coli	4.1e-004	   8.2e-007	         -14.01	         0.0	      148	        484	          25	         30	  0.30579	3.4e-009	       241
   2	EXPREG_00000b50 Vfr_P.aeruginosa	1.0e-001	   2.0e-004	          -8.50	         0.0	       47	        469	          12	         24	  0.10021	8.7e-007	       234
   2	EXPREG_00000c80 Fur_P.aeruginosa	5.5e-003	   1.1e-005	         -11.41	         0.0	       60	        482	          10	         12	  0.12448	4.6e-008	       240
   2	EXPREG_00000d10 CcpA_C.difficile	4.6e-003	   9.3e-006	         -11.59	         0.0	       57	        485	           9	         10	  0.11753	3.8e-008	       242
   2	EXPREG_00000ec0 Fur_N.gonorrhoeae	2.5e-003	   5.0e-006	         -12.21	         0.0	       73	        477	          14	         19	  0.15304	2.1e-008	       238
   2	EXPREG_00000f90 GlxR_C.glutamicum	8.1e0000	   1.6e-002	          -4.12	         0.0	      283	        475	          23	         24	  0.59579	6.9e-005	       237
   2	EXPREG_00001030 CRP_V.vulnificus	1.4e-001	   2.8e-004	          -8.20	         0.0	      126	        476	          12	         13	  0.26471	1.2e-006	       237
   2	EXPREG_000010c0 CodY_B.anthracis	4.6e-001	   9.2e-004	          -6.99	         0.0	       30	        490	           6	          9	  0.06122	3.8e-006	       244
   2	EXPREG_00001110 Fur_P.syringae	6.9e-004	   1.4e-006	         -13.49	         0.0	       64	        484	          17	         28	  0.13223	5.7e-009	       241
   2	EXPREG_00001190  PhhR_P.putida	1.3e0000	   2.6e-003	          -5.94	         0.0	      162	        472	          16	         19	  0.34322	1.1e-005	       235
   2	EXPREG_00001520  CcpA_L.lactis	7.5e0000	   1.5e-002	          -4.20	         0.0	       65	        487	           7	         10	  0.13347	6.2e-005	       243
   2	EXPREG_00001560 OxyR_P.aeruginosa	2.1e-001	   4.2e-004	          -7.78	         0.0	       47	        461	          12	         25	  0.10195	1.8e-006	       230
   2	EXPREG_00001810    CcpA_S.suis	2.4e-002	   4.8e-005	          -9.95	         0.0	       64	        478	          11	         15	  0.13389	2.0e-007	       238
   3	MX000003                  NarL	6.0e-002	   1.2e-004	          -9.02	         0.0	      188	        494	          28	         35	  0.38057	4.9e-007	       246
   3	MX000004                   Fnr	8.6e0000	   1.7e-002	          -4.05	         0.0	       31	        487	           7	         18	  0.06366	7.2e-005	       243
   3	MX000007                  ArgR	8.9e0000	   1.8e-002	          -4.02	         0.0	      164	        484	          15	         19	  0.33884	7.5e-005	       241
   3	MX000010                   IHF	7.1e0000	   1.4e-002	          -4.25	         0.0	       17	        493	           6	         21	  0.03448	5.8e-005	       246
   3	MX000013                   Fur	5.5e-003	   1.1e-005	         -11.41	         0.0	       60	        482	          10	         12	  0.12448	4.6e-008	       240
   3	MX000019                 Spo0A	1.4e-001	   2.8e-004	          -8.17	         0.0	      205	        489	          23	         26	  0.41922	1.2e-006	       244
   3	MX000023                  ComK	7.9e0000	   1.6e-002	          -4.14	         0.0	      168	        488	          11	         12	  0.34426	6.6e-005	       243
   3	MX000026                  TnrA	7.7e0000	   1.5e-002	          -4.17	         0.0	       50	        484	           5	          6	  0.10331	6.5e-005	       241
   3	MX000028                   IHF	5.2e-004	   1.0e-006	         -13.77	         0.0	       53	        487	          13	         19	  0.10883	4.3e-009	       243
   3	MX000029                   Fis	9.0e-009	   1.8e-011	         -24.74	         0.0	       34	        486	          19	         34	  0.06996	7.5e-014	       242
   3	MX000032                  PvdS	5.7e-001	   1.1e-003	          -6.77	         0.0	       78	        492	          15	         28	  0.15854	4.7e-006	       245
   3	MX000036                  AlgU	2.0e-002	   4.1e-005	         -10.10	         0.0	       44	        492	          15	         36	  0.08943	1.7e-007	       245
   3	MX000038                  CovR	6.0e0000	   1.2e-002	          -4.42	         0.0	      142	        490	           8	          8	  0.28980	5.0e-005	       244
   3	MX000047                  GerE	1.6e0000	   3.3e-003	          -5.72	         0.0	       55	        489	          11	         23	  0.11247	1.3e-005	       244
   3	MX000057                  PhoP	9.8e-004	   2.0e-006	         -13.14	         0.0	       54	        470	          13	         19	  0.11489	8.4e-009	       234
   3	MX000058                  PucR	4.2e-004	   8.5e-007	         -13.98	         0.0	       38	        490	          15	         32	  0.07755	3.5e-009	       244
   3	MX000064                  SigB	1.5e-001	   2.9e-004	          -8.13	         0.0	      149	        489	          19	         24	  0.30470	1.2e-006	       244
   3	MX000066                  SigE	1.8e-009	   3.7e-012	         -26.32	         0.0	       42	        490	          20	         31	  0.08571	1.5e-014	       244
   3	MX000067                  SigE	1.2e-008	   2.5e-011	         -24.43	         0.0	       33	        489	          15	         21	  0.06748	1.0e-013	       244
   3	MX000071                  SigB	2.1e-001	   4.2e-004	          -7.78	         0.0	       31	        489	          11	         31	  0.06339	1.7e-006	       244
   3	MX000073                  SigB	7.4e0000	   1.5e-002	          -4.20	         0.0	        7	        469	           3	          6	  0.01493	6.4e-005	       234
   3	MX000076                  SigH	5.8e-002	   1.2e-004	          -9.06	         0.0	       49	        489	          12	         23	  0.10020	4.8e-007	       244
   3	MX000081                  SigW	2.9e0000	   5.9e-003	          -5.14	         0.0	       61	        491	          12	         26	  0.12424	2.4e-005	       245
   3	MX000084                  SigX	1.3e-002	   2.6e-005	         -10.55	         0.0	       57	        489	          14	         25	  0.11656	1.1e-007	       244
   3	MX000091                  ArcA	2.0e-002	   4.1e-005	         -10.10	         0.0	      107	        491	          16	         21	  0.21792	1.7e-007	       245
   3	MX000093                   Crp	3.8e-002	   7.7e-005	          -9.48	         0.0	      177	        481	          23	         27	  0.36798	3.2e-007	       240
   3	MX000096                   Lrp	4.1e-007	   8.2e-010	         -20.93	         0.0	       53	        487	          19	         29	  0.10883	3.4e-012	       243
   3	MX000098                  DnaA	1.1e-001	   2.2e-004	          -8.41	         0.0	      180	        492	          26	         33	  0.36585	9.1e-007	       245
   3	MX000099                  PhoB	1.3e-002	   2.6e-005	         -10.56	         0.0	      181	        485	          21	         23	  0.37320	1.1e-007	       242
   3	MX000106                  NarL	4.8e-002	   9.6e-005	          -9.25	         0.0	       32	        494	          13	         35	  0.06478	3.9e-007	       246
   3	MX000116                  ArgR	4.5e0000	   9.1e-003	          -4.70	         0.0	       61	        487	           9	         16	  0.12526	3.8e-005	       243
   3	MX000121                  CytR	8.3e-002	   1.7e-004	          -8.70	         0.0	       23	        489	           8	         18	  0.04703	6.8e-007	       244
   3	MX000124                  FadR	2.7e0000	   5.5e-003	          -5.21	         0.0	      158	        484	          17	         22	  0.32645	2.3e-005	       241
   3	MX000127                  FhlA	2.4e-001	   4.9e-004	          -7.63	         0.0	      168	        494	          23	         29	  0.34008	2.0e-006	       246
   3	MX000128                   Fur	1.0e-001	   2.0e-004	          -8.50	         0.0	       84	        482	           8	          8	  0.17427	8.5e-007	       240
   3	MX000134                  IciA	3.5e-005	   7.1e-008	         -16.46	         0.0	       33	        489	          15	         31	  0.06748	2.9e-010	       244
   3	MX000135                  YhiX	4.6e-004	   9.2e-007	         -13.89	         0.0	       57	        483	          11	         13	  0.11801	3.8e-009	       241
   3	MX000142                  OmpR	1.7e-003	   3.4e-006	         -12.58	         0.0	       19	        491	           7	         10	  0.03870	1.4e-008	       245
   3	MX000143                  GcvA	4.6e0000	   9.2e-003	          -4.69	         0.0	      138	        496	          12	         14	  0.27823	3.7e-005	       247
   3	MX000145                  MetJ	3.2e0000	   6.4e-003	          -5.05	         0.0	      137	        485	          10	         11	  0.28247	2.6e-005	       242
   3	MX000149                   Nac	9.2e-004	   1.8e-006	         -13.21	         0.0	       52	        490	          12	         17	  0.10612	7.5e-009	       244
   3	MX000151                  NhaR	4.4e0000	   8.9e-003	          -4.72	         0.0	       60	        490	           8	         13	  0.12245	3.7e-005	       244
   3	MX000153                  OmpR	7.6e-005	   1.5e-007	         -15.70	         0.0	      180	        494	          21	         21	  0.36437	6.2e-010	       246
   3	MX000154                  OxyR	3.4e-002	   6.9e-005	          -9.58	         0.0	       41	        467	           7	          8	  0.08779	3.0e-007	       233
   3	MX000157                  PdhR	6.0e-001	   1.2e-003	          -6.72	         0.0	       11	        495	           6	         21	  0.02222	4.9e-006	       247
   3	MX000160             RcsA-RcsB	1.3e-002	   2.6e-005	         -10.55	         0.0	       71	        487	          16	         27	  0.14579	1.1e-007	       243
   3	MX000165                  MarA	2.2e-001	   4.4e-004	          -7.73	         0.0	        9	        481	           6	         21	  0.01871	1.8e-006	       240
   3	MX000169                  NarP	1.0e0000	   2.1e-003	          -6.18	         0.0	      120	        494	          18	         28	  0.24291	8.4e-006	       246
   3	MX000170                   Rob	2.5e0000	   5.0e-003	          -5.30	         0.0	       67	        481	          10	         17	  0.13929	2.1e-005	       240
   3	MX000174                  SoxS	5.2e-004	   1.1e-006	         -13.77	         0.0	       71	        481	          16	         23	  0.14761	4.4e-009	       240
   3	MX000188                  SarA	8.9e-005	   1.8e-007	         -15.54	         0.0	       33	        485	          12	         20	  0.06804	7.4e-010	       242
   3	MX000196                  YvaN	5.1e0000	   1.0e-002	          -4.59	         0.0	       27	        495	          10	         36	  0.05455	4.1e-005	       247
   3	MX000199                  CovR	5.5e-004	   1.1e-006	         -13.72	         0.0	       72	        492	          10	         10	  0.14634	4.5e-009	       245
   3	MX000200                  MelR	7.3e0000	   1.5e-002	          -4.21	         0.0	      149	        483	          10	         11	  0.30849	6.2e-005	       241
   3	MX000201                  LeuO	9.7e-003	   2.0e-005	         -10.84	         0.0	       50	        492	          10	         14	  0.10163	8.0e-008	       245
