"gene.tag"	"gene_old_tag"	"gene_start"	"gene_end"	"strand"	"product"	"closest_match"	"match_index"	"match_value"	"distance"	"affyLog_10h"
"SVEN_5976"	"SMD08951"	6506491	6506820	"+"	"Polyketide cyclase WhiE VII"	"1"	135	10.7527	246	-2.87842709766667
"SVEN_4492"	"SMD06886"	4847341	4848108	"-"	"hypothetical protein"	"1"	155	10.6452	47	-2.77473125166667
"SVEN_6305"	"SMD09397"	6878701	6879666	"-"	"L-malyl-CoA or beta-methylmalyl-CoA lyase%2C actinobacterial type"	"1"	203	10.4086	68	-2.303703902
"SVEN_7046"	"SMD10434"	7712707	7713921	"-"	"hypothetical protein"	"1"	289	10.1828	284	-1.74563389333333
"SVEN_5934"	"SMD08886.2"	6459299	6459430	"+"	"hypothetical protein"	"1"	65	11.3871	170	-1.38370988666667
"SVEN_1909"	"SMD03174"	2127691	2129661	"+"	"hypothetical protein"	"1"	99	10.9892	183	-1.228143397
"SVEN_5967"	"SMD08936"	6497381	6498532	"-"	"Butyryl-CoA dehydrogenase"	"1"	201	10.4086	299	-0.943885834
"SVEN_1463"	"SMD02522"	1640205	1641560	"+"	"CoA transferase%2C CAIB or BAIF family"	"1"	225	10.3333	89	-0.892303644333333
"SVEN_2568"	"SMD04084"	2794487	2795647	"+"	"Isovaleryl-CoA dehydrogenase"	"1"	311	10.1075	100	-0.685393029
"SVEN_2049"	"SMD03369"	2262300	2262968	"+"	"O-methyltransferase"	"1"	109	10.9247	247	-0.664020467666666
"SVEN_6700"	"SMD09940"	7333933	7334448	"-"	"hypothetical protein"	"1"	339	10.043	16	-0.568163573
"SVEN_3644"	"SMD05622"	3956653	3957039	"-"	"hypothetical protein"	"1"	325	10.086	124	-0.562510388999999
"SVEN_3212"	"SMD05002"	3520953	3521873	"-"	"hypothetical protein"	"1"	131	10.7742	1	-0.548752361000001
"SVEN_2734"	"SMD04312"	2982832	2984199	"+"	"Alpha-glucosides-binding periplasmic protein AglE precursor"	"1"	313	10.1075	221	-0.546607864
"SVEN_4818"	"SMD07343"	5180859	5181725	"+"	"putative hydrolase"	"1"	141	10.7419	256	-0.503829959666668
"SVEN_5469"	"SMD08247"	5929822	5932236	"+"	"GTP pyrophosphokinase%2C (p)ppGpp synthetase I"	"1"	283	10.2151	118	-0.501815958666667
"SVEN_2562"	"SMD04076"	2787486	2788454	"+"	"membrane transport protein"	"1"	153	10.6452	6	-0.422228424333333
"SVEN_4252"	"SMD06543"	4601577	4603829	"-"	"secreted protein"	"1"	171	10.5806	157	-0.415937227000001
"SVEN_0417"	"SMD00980"	444695	446164	"+"	"Possible Glycerol kinase"	"1"	27	11.7527	38	-0.411549649333335
"SVEN_5966"	"SMD08934"	6496567	6497352	"-"	"Electron transfer flavoprotein%2C beta subunit"	"1"	267	10.2688	231	-0.387714889999998
"SVEN_0259"	"SMD00768"	272856	273407	"+"	"hypothetical protein"	"1"	253	10.2796	62	-0.337753180333333
"SVEN_4126"	"SMD06358"	4465115	4465597	"-"	"Phosphoglycerate mutase family"	"1"	317	10.1075	295	-0.334383662333333
"SVEN_5340"	"SMD08069"	5769625	5772303	"+"	"ATP or GTP-binding protein"	"1"	193	10.4516	248	-0.314366991
"SVEN_4493"	"SMD06889"	4848300	4849754	"+"	"hypothetical protein"	"1"	155	10.6452	145	-0.297913265333334
"SVEN_1497"	"SMD02579"	1672949	1673557	"+"	"Cob(I)alamin adenosyltransferase"	"1"	93	11.0108	40	-0.297851561333334
"SVEN_1141"	"SMD02037"	1289220	1289777	"+"	"hypothetical protein"	"1"	11	12.4194	49	-0.26211266933333
"SVEN_6677"	"SMD09909"	7301865	7302779	"+"	"OpcA%2C glucose-6-phosphate dehydrogenase effector"	"1"	321	10.1075	13	-0.251244598666668
"SVEN_1935"	"SMD03209"	2148860	2150338	"-"	"Probable glutamate or gamma-aminobutyrate antiporter"	"1"	95	11.0108	87	-0.237149943666667
