DB 0 MOTIF	1	MEME
-242.5	0	9
-241.5	0	11
-240.5	0	9
-239.5	0	9
-238.5	0	13
-237.5	0	18
-236.5	0	8
-235.5	0	10
-234.5	0	13
-233.5	0	8.5
-232.5	0	9
-231.5	0	2
-230.5	0	9
-229.5	0	13
-228.5	0	6
-227.5	0	14
-226.5	0	11
-225.5	0	5
-224.5	0	15
-223.5	0	12
-222.5	0	14
-221.5	0	14
-220.5	0	8
-219.5	0	11
-218.5	0	12
-217.5	0	8
-216.5	0	14
-215.5	0	8
-214.5	0	4
-213.5	0	12
-212.5	0	6
-211.5	0	8.5
-210.5	0	10
-209.5	0	6
-208.5	0	8
-207.5	0	6
-206.5	0	7
-205.5	0	8.5
-204.5	0	6
-203.5	0	5
-202.5	0	18
-201.5	0	5
-200.5	0	13
-199.5	0	10
-198.5	0	13
-197.5	0	11.5
-196.5	0	8
-195.5	0	11
-194.5	0	18
-193.5	0	5
-192.5	0	10
-191.5	0	7
-190.5	0	16
-189.5	0	6
-188.5	0	8
-187.5	0	7.5
-186.5	0	9
-185.5	0	5
-184.5	0	13
-183.5	0	16
-182.5	0	6
-181.5	0	9
-180.5	0	9
-179.5	0	7
-178.5	0	13
-177.5	0	3
-176.5	0	9
-175.5	0	12.5
-174.5	0	11
-173.5	0	6
-172.5	0	11
-171.5	0	10
-170.5	0	9
-169.5	0	12.5
-168.5	0	10
-167.5	0	11
-166.5	1	10
-165.5	0	13
-164.5	0	8
-163.5	0	11.5
-162.5	0	12
-161.5	0	10
-160.5	0	8
-159.5	0	11
-158.5	0	7
-157.5	0	15
-156.5	0	13
-155.5	0	4
-154.5	0	9
-153.5	0	12
-152.5	0	11.5
-151.5	0	14
-150.5	0	10
-149.5	0	6
-148.5	0	7
-147.5	0	7
-146.5	0	10
-145.5	0	12
-144.5	0	14
-143.5	0	8
-142.5	0	12
-141.5	0	5
-140.5	0	9
-139.5	0	15.5
-138.5	0	7.5
-137.5	0	6
-136.5	0	13
-135.5	0	10
-134.5	0	10
-133.5	0	12
-132.5	0	11
-131.5	0	11
-130.5	0	17
-129.5	0	8
-128.5	0	11
-127.5	0	13
-126.5	0	9
-125.5	0	9
-124.5	0	10
-123.5	0	11
-122.5	0	7
-121.5	0	10
-120.5	0	18
-119.5	0	4
-118.5	0	8
-117.5	0	16
-116.5	0	7
-115.5	0	8
-114.5	0	8
-113.5	0	8
-112.5	0	7
-111.5	0	12
-110.5	0	7
-109.5	0	14.5
-108.5	0	9
-107.5	0	6
-106.5	0	8
-105.5	0	7
-104.5	0	8
-103.5	0	10
-102.5	0	11
-101.5	0	10
-100.5	0	11
 -99.5	0	14
 -98.5	0	8
 -97.5	0	11
 -96.5	0	12
 -95.5	0	5
 -94.5	0	6
 -93.5	0	15
 -92.5	0	6
 -91.5	0	14.5
 -90.5	0	8
 -89.5	0	15
 -88.5	0	11
 -87.5	0	14
 -86.5	0	8
 -85.5	0	9
 -84.5	0	12
 -83.5	0	15
 -82.5	0	8
 -81.5	0	8
 -80.5	0	9
 -79.5	0	9
 -78.5	0	12
 -77.5	0	8
 -76.5	0	11
 -75.5	0	12
 -74.5	0	16
 -73.5	0	13.5
 -72.5	0	12
 -71.5	0	1
 -70.5	0	6
 -69.5	0	6.5
 -68.5	0	8
 -67.5	0	9
 -66.5	0	12
 -65.5	0	17
 -64.5	0	14
 -63.5	0	13
 -62.5	0	13
 -61.5	0	13
 -60.5	0	8
 -59.5	0	4
 -58.5	0	9
 -57.5	0	6.5
 -56.5	0	11
 -55.5	0	14
 -54.5	0	10
 -53.5	0	13
 -52.5	0	11
 -51.5	0	9
 -50.5	1	13
 -49.5	0	10
 -48.5	0	6
 -47.5	0	12
 -46.5	0	7
 -45.5	0	14
 -44.5	0	14
 -43.5	0	10
 -42.5	0	11.5
 -41.5	0	6
 -40.5	0	12
 -39.5	0	6
 -38.5	0	13
 -37.5	0	9
 -36.5	0	9
 -35.5	0	10
 -34.5	0	9
 -33.5	0	4
 -32.5	0	8
 -31.5	0	6
 -30.5	0	13
 -29.5	0	12
 -28.5	0	6
 -27.5	0	8
 -26.5	0	11
 -25.5	0	19
 -24.5	0	16
 -23.5	0	13
 -22.5	0	10
 -21.5	0	9
 -20.5	0	12
 -19.5	0	4
 -18.5	0	16
 -17.5	0	14
 -16.5	2	11
