prim_db	prim_id	prim_alt	sec_db	sec_id	sec_alt	trim_left	trim_right	red_db	red_id	red_alt	E-value	gap	orient	count	total	adj_p-value	p-value
collectf	EXPREG_00000810	OmpR_S.enterica	dpinteract	rpoD15	.	0	0	.	.	.	1.55e-01	3	2	4	27	3.10e-08	2.79e-07
collectf	EXPREG_00000810	OmpR_S.enterica	dpinteract	rpoD15	.	0	0	.	.	.	1.55e-01	3	6	4	27	4.79e-07	4.31e-06
collectf	EXPREG_00000810	OmpR_S.enterica	dpinteract	rpoD15	.	0	0	.	.	.	1.55e-01	3	7	4	27	4.79e-07	4.31e-06
collectf	EXPREG_00000810	OmpR_S.enterica	prodoric	MX000202	CovR	0	0	.	.	.	2.36e-01	0	4	5	42	4.01e-08	3.61e-07
collectf	EXPREG_00000810	OmpR_S.enterica	prodoric	MX000202	CovR	0	0	.	.	.	2.36e-01	0	1	4	42	1.01e-07	9.13e-07
collectf	EXPREG_00000810	OmpR_S.enterica	prodoric	MX000202	CovR	0	0	.	.	.	2.36e-01	0	8	5	42	1.15e-06	1.04e-05
collectf	EXPREG_00000810	OmpR_S.enterica	prodoric	MX000202	CovR	0	0	.	.	.	2.36e-01	0	6	4	42	1.54e-06	1.39e-05
collectf	EXPREG_00000810	OmpR_S.enterica	collectf	EXPREG_000008e0	PhoP_S.enterica	3	2	.	.	.	3.50e-01	4	2	3	9	6.73e-08	6.06e-07
collectf	EXPREG_00000810	OmpR_S.enterica	collectf	EXPREG_000008e0	PhoP_S.enterica	3	2	.	.	.	3.50e-01	4	6	3	9	5.34e-07	4.81e-06
collectf	EXPREG_00000810	OmpR_S.enterica	collectf	EXPREG_000008e0	PhoP_S.enterica	3	2	.	.	.	3.50e-01	4	7	3	9	5.34e-07	4.81e-06
collectf	EXPREG_00000810	OmpR_S.enterica	collectf	EXPREG_000008e0	PhoP_S.enterica	3	2	.	.	.	3.50e-01	4	8	3	9	4.20e-06	3.78e-05
collectf	EXPREG_00000810	OmpR_S.enterica	dpinteract	metR	.	0	1	.	.	.	8.10e-01	3	2	3	12	1.47e-07	1.32e-06
collectf	EXPREG_00000810	OmpR_S.enterica	dpinteract	metR	.	0	1	.	.	.	8.10e-01	3	6	3	12	1.16e-06	1.04e-05
collectf	EXPREG_00000810	OmpR_S.enterica	dpinteract	metR	.	0	1	.	.	.	8.10e-01	3	7	3	12	1.16e-06	1.04e-05
collectf	EXPREG_00000810	OmpR_S.enterica	dpinteract	fnr	.	2	0	.	.	.	2.13e+00	25	1	2	2	4.05e-07	3.64e-06
collectf	EXPREG_00000810	OmpR_S.enterica	dpinteract	fnr	.	2	0	.	.	.	2.13e+00	25	4	2	2	1.62e-06	1.46e-05
collectf	EXPREG_00000810	OmpR_S.enterica	dpinteract	fnr	.	2	0	.	.	.	2.13e+00	25	6	2	2	1.62e-06	1.46e-05
collectf	EXPREG_00000810	OmpR_S.enterica	prodoric	MX000091	ArcA	0	0	.	.	.	3.33e+00	16	2	3	19	5.87e-07	5.29e-06
