"gene.tag"	"gene_old_tag"	"gene_start"	"gene_end"	"strand"	"product"	"closest_match"	"match_index"	"match_value"	"distance"	"affyLog_18h"
"SVEN_3051"	"SMD04773"	3340267	3341442	"+"	"Flagellar hook-length control protein FliK"	"1"	1	16.1847	93	2.354836484
"SVEN_1324"	"SMD02318"	1482918	1483553	"-"	"hypothetical protein"	"1"	677	10.2166	43	2.25046839133333
"SVEN_2469"	"SMD03941"	2684254	2685723	"-"	"hypothetical protein"	"1"	821	10.0446	159	1.27438145933333
"SVEN_1408"	"SMD02435"	1572764	1574776	"-"	"putative regulatory protein"	"1"	7	14.0701	100	1.10497212633333
"SVEN_1881"	"SMD03139"	2091780	2094305	"+"	"hypothetical protein"	"1"	1197	9.66879	29	0.973086132333334
"SVEN_6581"	"SMD09777"	7191046	7192368	"-"	"hypothetical protein"	"1"	1113	9.75796	60	0.927097252666666
"SVEN_7128"	"SMD10561"	7823384	7825129	"+"	"hypothetical protein"	"1"	539	10.4331	38	0.921292632
"SVEN_6900"	"SMD10227"	7548430	7549305	"+"	"sugar transport system permease protein"	"1"	1181	9.6879	261	0.916870330333334
"SVEN_1161"	"SMD02074"	1310692	1311216	"-"	"putative acetyltransferase"	"1"	779	10.0955	2	0.904998665666668
"SVEN_6166"	"SMD09211"	6721251	6722654	"+"	"D-hydantoinase"	"1"	763	10.121	251	0.869193586000001
"SVEN_3971"	"SMD06117"	4312442	4314049	"+"	"putative integral membrane protein"	"1"	905	9.94904	39	0.738160191333334
"SVEN_1562"	"SMD02682"	1740773	1741093	"-"	"hypothetical protein"	"1"	107	11.8471	89	0.683386569
"SVEN_4658"	"SMD07114"	5012494	5014317	"+"	"Phosphoenolpyruvate carboxykinase"	"1"	1427	9.49682	101	0.679792977
"SVEN_3784"	"SMD05819"	4109874	4110737	"-"	"hypothetical protein"	"1"	597	10.3121	50	0.588974072666666
"SVEN_0625"	"SMD01257"	724096	725400	"+"	"putative secreted sugar binding protein"	"1"	1009	9.8535	261	0.575997612999999
"SVEN_4402"	"SMD06764"	4747532	4747717	"+"	"Methionine aminopeptidase"	"1"	361	10.8726	254	0.569430926666667
"SVEN_4827"	"SMD07356"	5193260	5193997	"+"	"Phage-related protein%2C tail component"	"1"	1011	9.8535	83	0.521826553333332
"SVEN_2340"	"SMD03757"	2526054	2527931	"-"	"Long-chain-fatty-acid--CoA ligase"	"1"	1261	9.61146	274	0.509871591666666
