gene	product	Total_all	8h_all	10h_all	12h_all	14h_all	16h_all	18h_all	20h_all	Total_fimo	8h_fimo	10h_fimo	12h_fimo	14h_fimo	16h_fimo	18h_fimo	20h_fimo	Total_pred	8h_pred	10h_pred	12h_pred	14h_pred	16h_pred	18h_pred	20h_pred	Total_chip	8h_chip	10h_chip	12h_chip	14h_chip	16h_chip	18h_chip	20h_chip
"SVEN_1372"	"hypothetical protein"	24	1	2	5	5	0	5	6	1	0	0	0	1	0	0	0	14	0	1	4	2	0	3	4	9	1	1	1	2	0	2	2
"SVEN_1324"	"hypothetical protein"	24	0	2	4	5	2	6	5	2	0	0	0	1	0	1	0	13	0	1	3	2	1	3	3	9	0	1	1	2	1	2	2
"SVEN_1278"	"Gluconokinase"	23	1	2	4	4	2	5	5	0	0	0	0	0	0	0	0	13	0	1	3	2	1	3	3	10	1	1	1	2	1	2	2
"SVEN_1625"	"ATP-dependent RNA helicase"	23	0	2	4	5	2	5	5	1	0	0	0	1	0	0	0	13	0	1	3	2	1	3	3	9	0	1	1	2	1	2	2
"SVEN_4750"	"putative membrane protein"	23	1	0	4	5	2	6	5	2	0	0	0	1	0	1	0	12	0	0	3	2	1	3	3	9	1	0	1	2	1	2	2
"SVEN_1284"	"regulatory protein%2C TetR"	22	0	2	4	4	2	5	5	0	0	0	0	0	0	0	0	13	0	1	3	2	1	3	3	9	0	1	1	2	1	2	2
"SVEN_6821"	"RNA polymerase sigma-70 factor%2C ECF subfamily"	21	1	2	3	5	2	4	4	1	0	0	0	1	0	0	0	10	0	1	2	2	1	2	2	10	1	1	1	2	1	2	2
"SVEN_5278"	"putative regulatory protein"	18	1	0	0	4	2	6	5	1	0	0	0	0	0	1	0	9	0	0	0	2	1	3	3	8	1	0	0	2	1	2	2
"SVEN_5779"	"hypothetical protein"	17	1	2	0	4	2	4	4	1	0	0	0	1	0	0	0	7	0	1	0	1	1	2	2	9	1	1	0	2	1	2	2
"SVEN_3846"	"putative DNA-binding protein"	17	0	0	3	4	2	4	4	0	0	0	0	0	0	0	0	9	0	0	2	2	1	2	2	8	0	0	1	2	1	2	2
"SVEN_0416"	"hypothetical protein"	16	0	2	3	3	2	3	3	1	0	0	0	1	0	0	0	9	0	1	2	1	1	2	2	6	0	1	1	1	1	1	1
"SVEN_0624"	"Xylose repressor XylR"	16	0	2	3	3	2	3	3	0	0	0	0	0	0	0	0	10	0	1	2	2	1	2	2	6	0	1	1	1	1	1	1
"SVEN_4635"	"putative secreted protein"	16	1	0	0	5	0	5	5	1	0	0	0	1	0	0	0	8	0	0	0	2	0	3	3	7	1	0	0	2	0	2	2
"SVEN_6582"	"hypothetical protein"	16	1	0	3	3	2	4	3	1	0	0	0	0	0	1	0	9	0	0	2	2	1	2	2	6	1	0	1	1	1	1	1
"SVEN_4858"	"tetratricopeptide repeat family protein"	16	1	1	3	3	0	4	4	0	0	0	0	0	0	0	0	7	0	0	2	1	0	2	2	9	1	1	1	2	0	2	2
"SVEN_6581"	"hypothetical protein"	16	0	2	4	3	2	5	0	1	0	0	0	0	0	1	0	10	0	1	3	2	1	3	0	5	0	1	1	1	1	1	0
"SVEN_2517"	"putative SARP family pathway specific regulatory protein"	16	0	2	3	3	2	3	3	0	0	0	0	0	0	0	0	10	0	1	2	2	1	2	2	6	0	1	1	1	1	1	1
"SVEN_4846"	"UBA or THIF-type NAD or FAD binding protein"	16	1	2	3	2	2	3	3	0	0	0	0	0	0	0	0	9	0	1	2	1	1	2	2	7	1	1	1	1	1	1	1
"SVEN_3712"	"hypothetical protein"	15	1	2	4	0	0	4	4	0	0	0	0	0	0	0	0	10	0	1	3	0	0	3	3	5	1	1	1	0	0	1	1
"SVEN_3051"	"Flagellar hook-length control protein FliK"	15	1	2	3	0	0	5	4	1	0	0	0	0	0	1	0	7	0	1	2	0	0	2	2	7	1	1	1	0	0	2	2
"SVEN_4730"	"hypothetical protein"	15	0	0	3	3	2	4	3	1	0	0	0	0	0	1	0	9	0	0	2	2	1	2	2	5	0	0	1	1	1	1	1
"SVEN_1452"	"hypothetical protein"	15	0	0	0	4	2	5	4	1	0	0	0	0	0	1	0	7	0	0	0	2	1	2	2	7	0	0	0	2	1	2	2
"SVEN_5042"	"putative ATP or GTP-binding protein%2C doubtful CDS"	15	1	0	3	3	2	3	3	0	0	0	0	0	0	0	0	9	0	0	2	2	1	2	2	6	1	0	1	1	1	1	1
"SVEN_4250"	"putative serine or threonine protein kinase"	15	0	2	3	2	2	3	3	0	0	0	0	0	0	0	0	9	0	1	2	1	1	2	2	6	0	1	1	1	1	1	1
"SVEN_6825"	"putative secreted protein"	14	1	2	2	2	2	3	2	1	0	0	0	0	0	1	0	6	0	1	1	1	1	1	1	7	1	1	1	1	1	1	1
"SVEN_4839"	"putative glutaredoxin protein"	14	1	2	2	3	2	2	2	1	0	0	0	1	0	0	0	6	0	1	1	1	1	1	1	7	1	1	1	1	1	1	1
"SVEN_0462"	"ATP-dependent RNA helicase"	14	1	2	3	0	2	3	3	0	0	0	0	0	0	0	0	8	0	1	2	0	1	2	2	6	1	1	1	0	1	1	1
"SVEN_7237"	"Transcriptional regulator%2C TetR family"	14	1	0	3	4	2	4	0	0	0	0	0	0	0	0	0	7	0	0	2	2	1	2	0	7	1	0	1	2	1	2	0
"SVEN_1533"	"transcriptional regulator%2C AraC family"	14	0	1	3	3	1	3	3	1	0	0	0	1	0	0	0	13	0	1	3	2	1	3	3	0	0	0	0	0	0	0	0
"SVEN_1408"	"putative regulatory protein"	14	0	2	3	0	0	5	4	1	0	0	0	0	0	1	0	7	0	1	2	0	0	2	2	6	0	1	1	0	0	2	2
"SVEN_5972"	"TetR-family transcriptional regulator"	13	0	2	3	0	2	3	3	0	0	0	0	0	0	0	0	8	0	1	2	0	1	2	2	5	0	1	1	0	1	1	1
"SVEN_1557"	"Iron-sulfur cluster regulator SufR"	13	1	2	2	2	2	2	2	0	0	0	0	0	0	0	0	6	0	1	1	1	1	1	1	7	1	1	1	1	1	1	1
"SVEN_3562"	"hypothetical protein"	13	0	2	3	3	2	3	0	0	0	0	0	0	0	0	0	8	0	1	2	2	1	2	0	5	0	1	1	1	1	1	0
"SVEN_2756"	"DNA-binding response regulator mtrA"	13	1	2	2	2	2	2	2	0	0	0	0	0	0	0	0	6	0	1	1	1	1	1	1	7	1	1	1	1	1	1	1
"SVEN_2927"	"Prevent host death protein%2C Phd antitoxin"	12	1	2	0	2	2	3	2	1	0	0	0	0	0	1	0	5	0	1	0	1	1	1	1	6	1	1	0	1	1	1	1
"SVEN_0625"	"putative secreted sugar binding protein"	12	1	2	2	2	0	3	2	1	0	0	0	0	0	1	0	5	0	1	1	1	0	1	1	6	1	1	1	1	0	1	1
"SVEN_4196"	"hypothetical protein"	12	0	0	3	2	1	3	3	0	0	0	0	0	0	0	0	12	0	0	3	2	1	3	3	0	0	0	0	0	0	0	0
"SVEN_2949"	"hypothetical protein"	12	0	2	2	2	2	2	2	0	0	0	0	0	0	0	0	6	0	1	1	1	1	1	1	6	0	1	1	1	1	1	1
"SVEN_7238"	"Alkyldihydroxyacetonephosphate synthase"	12	1	0	3	0	0	4	4	0	0	0	0	0	0	0	0	6	0	0	2	0	0	2	2	6	1	0	1	0	0	2	2
"SVEN_0557"	"putative sensor histidine kinase"	12	1	0	0	3	2	3	3	0	0	0	0	0	0	0	0	7	0	0	0	2	1	2	2	5	1	0	0	1	1	1	1
"SVEN_0766"	"putative polyketide synthase"	12	1	0	0	3	2	3	3	0	0	0	0	0	0	0	0	7	0	0	0	2	1	2	2	5	1	0	0	1	1	1	1
"SVEN_1371"	"putative regulator"	12	0	0	5	5	2	0	0	1	0	0	0	1	0	0	0	7	0	0	4	2	1	0	0	4	0	0	1	2	1	0	0
"SVEN_5114"	"putative lipoprotein"	12	0	2	2	3	2	3	0	0	0	0	0	0	0	0	0	5	0	1	1	1	1	1	0	7	0	1	1	2	1	2	0
"SVEN_5041"	"putative alkanal monooxygenase"	11	0	0	0	3	2	3	3	0	0	0	0	0	0	0	0	7	0	0	0	2	1	2	2	4	0	0	0	1	1	1	1
"SVEN_4749"	"Fibrillarin"	11	1	0	0	5	0	0	5	1	0	0	0	1	0	0	0	5	0	0	0	2	0	0	3	5	1	0	0	2	0	0	2
"SVEN_4458"	"Glycerol-3-phosphate dehydrogenase"	11	1	0	0	5	0	0	5	1	0	0	0	1	0	0	0	5	0	0	0	2	0	0	3	5	1	0	0	2	0	0	2
"SVEN_5979"	"hypothetical protein"	11	1	1	0	2	1	3	3	0	0	0	0	0	0	0	0	5	0	0	0	1	0	2	2	6	1	1	0	1	1	1	1
"SVEN_4452"	"Sporulation regulatory protein WhiD"	11	1	0	0	5	0	0	5	1	0	0	0	1	0	0	0	5	0	0	0	2	0	0	3	5	1	0	0	2	0	0	2
"SVEN_0959"	"hypothetical protein"	11	1	2	2	2	0	2	2	0	0	0	0	0	0	0	0	5	0	1	1	1	0	1	1	6	1	1	1	1	0	1	1
"SVEN_1283"	"Fumarate or succinate or L-aspartate dehydrogenases"	11	0	0	4	0	2	5	0	0	0	0	0	0	0	0	0	7	0	0	3	0	1	3	0	4	0	0	1	0	1	2	0
"SVEN_0339"	"CAIB or BAIF family protein"	11	0	1	3	0	1	3	3	0	0	0	0	0	0	0	0	11	0	1	3	0	1	3	3	0	0	0	0	0	0	0	0
"SVEN_2173"	"hypothetical protein"	11	1	2	2	2	2	2	0	0	0	0	0	0	0	0	0	5	0	1	1	1	1	1	0	6	1	1	1	1	1	1	0
"SVEN_2999"	"putative regulatory protein"	11	1	0	3	4	0	0	3	1	0	0	0	1	0	0	0	6	0	0	2	2	0	0	2	4	1	0	1	1	0	0	1
"SVEN_6824"	"putative oligosaccharide deacetylase"	11	0	1	2	3	1	2	2	1	0	0	0	1	0	0	0	10	0	1	2	2	1	2	2	0	0	0	0	0	0	0	0
"SVEN_5585"	"hypothetical protein"	11	0	1	3	0	1	3	3	0	0	0	0	0	0	0	0	11	0	1	3	0	1	3	3	0	0	0	0	0	0	0	0
"SVEN_0417"	"Possible Glycerol kinase"	10	1	0	3	0	0	3	3	0	0	0	0	0	0	0	0	6	0	0	2	0	0	2	2	4	1	0	1	0	0	1	1
"SVEN_1534"	"hypothetical hydrophilic protein"	10	0	0	3	0	1	3	3	0	0	0	0	0	0	0	0	10	0	0	3	0	1	3	3	0	0	0	0	0	0	0	0
"SVEN_5277"	"hypothetical protein"	10	1	0	0	4	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	3	5	1	0	0	2	0	0	2
"SVEN_0645"	"Ribonuclease BN"	10	0	1	2	2	0	3	2	1	0	0	0	0	0	1	0	9	0	1	2	2	0	2	2	0	0	0	0	0	0	0	0
"SVEN_0226"	"L-2%2C4-diaminobutyric acid acetyltransferase"	10	0	0	2	2	2	2	2	0	0	0	0	0	0	0	0	5	0	0	1	1	1	1	1	5	0	0	1	1	1	1	1
"SVEN_4814"	"hypothetical protein"	10	0	1	2	2	1	2	2	0	0	0	0	0	0	0	0	10	0	1	2	2	1	2	2	0	0	0	0	0	0	0	0
"SVEN_2891"	"Integrase"	10	0	2	3	3	2	0	0	0	0	0	0	0	0	0	0	6	0	1	2	2	1	0	0	4	0	1	1	1	1	0	0
"SVEN_0162"	"Transcriptional regulator%2C TetR family"	10	0	2	2	2	2	0	2	0	0	0	0	0	0	0	0	5	0	1	1	1	1	0	1	5	0	1	1	1	1	0	1
"SVEN_2285"	"putative regulatory protein"	10	1	0	3	3	0	0	3	0	0	0	0	0	0	0	0	6	0	0	2	2	0	0	2	4	1	0	1	1	0	0	1
"SVEN_5835"	"hypothetical protein"	10	0	1	2	2	1	2	2	0	0	0	0	0	0	0	0	10	0	1	2	2	1	2	2	0	0	0	0	0	0	0	0
"SVEN_3448"	"LysR-family transcriptional regulatory protein"	10	0	2	2	0	2	4	0	1	0	0	0	0	0	1	0	4	0	1	1	0	1	1	0	5	0	1	1	0	1	2	0
"SVEN_6822"	"putative lipoprotein"	10	1	2	3	0	0	0	4	0	0	0	0	0	0	0	0	5	0	1	2	0	0	0	2	5	1	1	1	0	0	0	2
"SVEN_2723"	"putative transport protein"	10	0	1	2	2	1	2	2	0	0	0	0	0	0	0	0	10	0	1	2	2	1	2	2	0	0	0	0	0	0	0	0
"SVEN_3449"	"isomerase"	10	1	0	0	0	2	4	3	1	0	0	0	0	0	1	0	3	0	0	0	0	1	1	1	6	1	0	0	0	1	2	2
"SVEN_0414"	"GntR-family transcriptional regulator"	10	0	1	0	2	1	3	3	0	0	0	0	0	0	0	0	10	0	1	0	2	1	3	3	0	0	0	0	0	0	0	0
"SVEN_3195"	"Tryptophanyl-tRNA synthetase"	10	0	1	2	2	1	2	2	0	0	0	0	0	0	0	0	10	0	1	2	2	1	2	2	0	0	0	0	0	0	0	0
"SVEN_4964"	"hypothetical protein"	10	0	1	0	2	1	3	3	0	0	0	0	0	0	0	0	10	0	1	0	2	1	3	3	0	0	0	0	0	0	0	0
"SVEN_3200"	"putative ABC transporter ATP-binding protein"	10	0	1	2	2	1	2	2	0	0	0	0	0	0	0	0	10	0	1	2	2	1	2	2	0	0	0	0	0	0	0	0
"SVEN_6981"	"Nickel ABC transporter%2C periplasmic nickel-binding protein nikA2"	10	0	2	2	2	2	2	0	0	0	0	0	0	0	0	0	5	0	1	1	1	1	1	0	5	0	1	1	1	1	1	0
"SVEN_6470"	"sensor histidine kinase"	10	0	2	0	2	2	2	2	0	0	0	0	0	0	0	0	5	0	1	0	1	1	1	1	5	0	1	0	1	1	1	1
"SVEN_2469"	"hypothetical protein"	10	0	2	2	0	2	4	0	1	0	0	0	0	0	1	0	4	0	1	1	0	1	1	0	5	0	1	1	0	1	2	0
"SVEN_4840"	"ATP-dependent DNA helicase UvrD or PcrA"	10	1	0	2	3	2	2	0	1	0	0	0	1	0	0	0	4	0	0	1	1	1	1	0	5	1	0	1	1	1	1	0
"SVEN_4464"	"Chorismate mutase I"	10	0	1	2	2	1	2	2	0	0	0	0	0	0	0	0	10	0	1	2	2	1	2	2	0	0	0	0	0	0	0	0
"SVEN_0106"	"putative sensor histidine kinase"	9	0	1	1	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	1	2	1	2	2
"SVEN_3109"	"acetyl-CoA acetyltransferase"	9	0	1	2	1	1	2	2	0	0	0	0	0	0	0	0	9	0	1	2	1	1	2	2	0	0	0	0	0	0	0	0
"SVEN_7140"	"D-amino-acid oxidase"	9	1	2	2	2	0	0	2	0	0	0	0	0	0	0	0	4	0	1	1	1	0	0	1	5	1	1	1	1	0	0	1
"SVEN_7394"	"ADP-ribose pyrophosphatase"	9	0	0	0	2	1	3	3	0	0	0	0	0	0	0	0	9	0	0	0	2	1	3	3	0	0	0	0	0	0	0	0
