# WARNING: this file is not sorted!
# db	id                         alt	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   1	1                         MEME	7.6e-060	   1.5e-062	        -142.34	         0.0	       66	        480	         170	        308	  0.13750	6.4e-065	       239
   1	2                         MEME	3.9e-004	   7.8e-007	         -14.06	         0.0	      180	        480	          46	         61	  0.37500	3.3e-009	       239
   1	3                         MEME	4.1e-001	   8.3e-004	          -7.10	         0.0	       27	        473	           9	         21	  0.05708	3.5e-006	       236
   2	GWTCA                    DREME	5.2e-001	   1.0e-003	          -6.86	         0.0	       64	        496	          68	        306	  0.12903	4.2e-006	       247
   2	GTACKA                   DREME	5.3e-003	   1.1e-005	         -11.45	         0.0	       27	        495	          24	        125	  0.05455	4.3e-008	       247
   3	EXPREG_00000020 LexA_C.glutamicum	2.2e-007	   4.3e-010	         -21.56	         0.0	       82	        484	          60	        143	  0.16942	1.8e-012	       241
   3	EXPREG_00000050  PhoP_Y.pestis	5.1e-010	   1.0e-012	         -27.61	         0.0	      174	        480	          88	        124	  0.36250	4.3e-015	       239
   3	EXPREG_000000e0 CcpA_S.pneumoniae	1.9e-007	   3.9e-010	         -21.67	         0.0	      159	        481	          38	         45	  0.33056	1.6e-012	       240
   3	EXPREG_00000120 LexA_P.difficile	6.0e-001	   1.2e-003	          -6.72	         0.0	      175	        485	          38	         58	  0.36082	5.0e-006	       242
   3	EXPREG_00000130 HapR_V.cholerae	5.4e-004	   1.1e-006	         -13.74	         0.0	       47	        479	          10	         12	  0.09812	4.5e-009	       239
   3	EXPREG_00000200 GlnR_S.erythraea	1.9e-001	   3.7e-004	          -7.89	         0.0	       87	        485	          81	        273	  0.17938	1.5e-006	       242
   3	EXPREG_00000240 ToxT_V.cholerae	1.4e-004	   2.8e-007	         -15.09	         0.0	       75	        487	          22	         37	  0.15400	1.2e-009	       243
   3	EXPREG_00000290 LuxR_V.campbellii	6.3e-005	   1.3e-007	         -15.88	         0.0	       48	        480	          25	         63	  0.10000	5.3e-010	       239
   3	EXPREG_00000360 Fur_A.salmonicida	5.0e0000	   1.0e-002	          -4.60	         0.0	       66	        476	           9	         15	  0.13866	4.3e-005	       237
   3	EXPREG_00000370 Fur_A.ferrooxidans	1.5e-010	   3.0e-013	         -28.85	         0.0	       62	        480	          44	         94	  0.12917	1.2e-015	       239
   3	EXPREG_000006f0   IHF_P.putida	1.5e-002	   3.0e-005	         -10.40	         0.0	      229	        473	          73	         98	  0.48414	1.3e-007	       236
   3	EXPREG_00000700   IHF_P.putida	2.1e-002	   4.1e-005	         -10.09	         0.0	       25	        487	          22	        119	  0.05133	1.7e-007	       243
   3	EXPREG_00000760     NtcA_N.sp.	2.5e-005	   4.9e-008	         -16.83	         0.0	      177	        487	         102	        169	  0.36345	2.0e-010	       243
   3	EXPREG_000007c0     Fur_E.coli	1.1e-001	   2.2e-004	          -8.40	         0.0	       62	        470	          10	         14	  0.13191	9.6e-007	       234
   3	EXPREG_00000800    ArcA_E.coli	8.5e-004	   1.7e-006	         -13.28	         0.0	       88	        480	          25	         43	  0.18333	7.1e-009	       239
