DB 0 MOTIF	1	MEME
-239.5	0	12
-238.5	0	17
-237.5	0	11
-236.5	1	12
-235.5	0	19
-234.5	1	15
-233.5	0	11
-232.5	0	17
-231.5	0	13
-230.5	0	14
-229.5	0	13
-228.5	0	9
-227.5	0	8
-226.5	0	13
-225.5	0	17
-224.5	0	14
-223.5	0	14
-222.5	0	11
-221.5	0	11
-220.5	0	20
-219.5	0	9
-218.5	0	14
-217.5	0	10
-216.5	0	17
-215.5	0	16
-214.5	0	16
-213.5	0	13.5
-212.5	0	12
-211.5	0	16
-210.5	0	12
-209.5	0	14
-208.5	0	15
-207.5	0	13
-206.5	0	13
-205.5	0	7
-204.5	0	11
-203.5	0	10.5
-202.5	2	21
-201.5	0	14
-200.5	0	7
-199.5	0	12
-198.5	0	8
-197.5	0	14
-196.5	0	17
-195.5	0	11.5
-194.5	0	14
-193.5	0	8
-192.5	0	18.5
-191.5	1	10
-190.5	0	16
-189.5	0	17
-188.5	0	21
-187.5	0	11.5
-186.5	0	13
-185.5	0	10
-184.5	0	13.5
-183.5	0	6
-182.5	0	13
-181.5	0	11
-180.5	0	14
-179.5	0	11
-178.5	0	17
-177.5	1	10.5
-176.5	0	13
-175.5	0	16.5
-174.5	0	13
-173.5	0	12
-172.5	0	7
-171.5	0	16
-170.5	1	12
-169.5	0	18
-168.5	1	11
-167.5	0	18
-166.5	0	16
-165.5	1	17
-164.5	0	12
-163.5	0	13
-162.5	0	15
-161.5	0	13
-160.5	0	14
-159.5	0	13
-158.5	1	12
-157.5	1	11
-156.5	0	11
-155.5	1	16
-154.5	0	13.5
-153.5	0	16
-152.5	0	7
-151.5	0	12.5
-150.5	0	11
-149.5	0	9
-148.5	1	12
-147.5	1	16
-146.5	0	16
-145.5	0	11.5
-144.5	1	22
-143.5	0	16
-142.5	0	21
-141.5	0	9
-140.5	1	10
-139.5	0	16
-138.5	1	12
-137.5	0	13
-136.5	0	10
-135.5	0	17
-134.5	0	17
-133.5	0	10
-132.5	1	10
-131.5	0	16
-130.5	0	11
-129.5	0	12
-128.5	1	8
-127.5	0	13
-126.5	0	10
-125.5	0	18
-124.5	1	12
-123.5	0	11
-122.5	0	11
-121.5	1	18
-120.5	1	14
-119.5	1	14
-118.5	1	13
-117.5	1	8
-116.5	0	13
-115.5	0	12
-114.5	1	15
-113.5	0	16
-112.5	0	8
-111.5	0	13
-110.5	0	16
-109.5	0	12
-108.5	0	16
-107.5	1	7
-106.5	0	12
-105.5	0	11
-104.5	1	6
-103.5	0	14
-102.5	0	11
-101.5	1	15
-100.5	1	16
 -99.5	1	16
 -98.5	0	12
 -97.5	0	15
 -96.5	2	13
 -95.5	0	18
 -94.5	0	22
 -93.5	0	17
 -92.5	0	11
 -91.5	1	10
 -90.5	1	16
 -89.5	1	12
 -88.5	0	12
 -87.5	0	10
 -86.5	1	8
 -85.5	1	12
 -84.5	1	9
 -83.5	3	19
 -82.5	2	10
 -81.5	0	16
 -80.5	1	14
 -79.5	1	12
 -78.5	1	8
 -77.5	2	10
 -76.5	1	14
 -75.5	2	17
 -74.5	1	13
 -73.5	0	16.5
 -72.5	0	13
 -71.5	0	14
 -70.5	0	12
 -69.5	2	22
 -68.5	1	12
 -67.5	0	5
 -66.5	2	12
 -65.5	0	19.5
 -64.5	0	12.5
 -63.5	0	14
 -62.5	0	8
 -61.5	2	9
 -60.5	0	14
 -59.5	0	14
 -58.5	0	11
 -57.5	0	15
 -56.5	1	17
 -55.5	0	20
 -54.5	0	16
 -53.5	0	16
 -52.5	0.5	11
 -51.5	0	11
 -50.5	2	11
 -49.5	0	21
 -48.5	0	13
 -47.5	0	16
 -46.5	0	11
 -45.5	3	20
 -44.5	0	9
 -43.5	0	11
 -42.5	0	7
 -41.5	1	12
 -40.5	2	12
 -39.5	0	8
 -38.5	0	11
 -37.5	0.5	20
 -36.5	1	17
 -35.5	1	22.5
 -34.5	2	14
 -33.5	1	11
 -32.5	1	12
 -31.5	2	11
 -30.5	2	16
 -29.5	3	9
 -28.5	1	8
 -27.5	2	8
 -26.5	0	21
 -25.5	4	13
 -24.5	2	15
 -23.5	3	14
 -22.5	0	11
 -21.5	0	14
 -20.5	3	9
 -19.5	2	8
 -18.5	3	16
 -17.5	2	16
 -16.5	1	9
 -15.5	3	12
 -14.5	2	9
 -13.5	2	14
 -12.5	1	9
 -11.5	2	9
 -10.5	6	13
  -9.5	3	12
  -8.5	4	14.5
  -7.5	3	13
  -6.5	5	12
  -5.5	3	13
  -4.5	4	13
  -3.5	4	13
  -2.5	9	11
  -1.5	7	10
  -0.5	1	16
   0.5	3	12
   1.5	3	10
   2.5	6	14
   3.5	4	11
   4.5	4	10
   5.5	3	14
   6.5	5	10
   7.5	4	11
   8.5	4	11
   9.5	5	16
  10.5	2	11
  11.5	1	13
  12.5	1	13
  13.5	1	21
  14.5	5	17
  15.5	7	14
  16.5	2	14
  17.5	4	5
  18.5	2	7
  19.5	2	9
  20.5	4	17
  21.5	3	13
  22.5	4	8
  23.5	1	9
  24.5	0	10
  25.5	2	7
  26.5	3	11
  27.5	0	13
  28.5	1	13
  29.5	2	11
  30.5	1	11
  31.5	1	11
  32.5	2	12
  33.5	1	10
  34.5	1	11
  35.5	0	10.5
  36.5	1	10
  37.5	1	7
  38.5	0	13
  39.5	2	17
  40.5	2	14
  41.5	1	17
  42.5	1	7.5
  43.5	0	13.5
  44.5	1	8
  45.5	1	13
  46.5	1	9
  47.5	1	21
  48.5	1	14
  49.5	1	16
  50.5	1	9
  51.5	0	11
  52.5	1	10
  53.5	1	13
  54.5	3	12
  55.5	0	10
  56.5	0	9
  57.5	0	11.5
  58.5	1	22
  59.5	1	11
  60.5	0	12
  61.5	0	15
  62.5	0	11
  63.5	1	13
  64.5	2	20
  65.5	1	17
  66.5	0	15
  67.5	0	18
  68.5	0	12
  69.5	0	14
  70.5	1	15
  71.5	0	9
  72.5	1	20
  73.5	2	20
  74.5	1	15
  75.5	1	14
  76.5	0	7.5
  77.5	0	11
  78.5	1	9
  79.5	0	16
  80.5	1	11
  81.5	0	16
  82.5	0	17
  83.5	0	8
  84.5	0	10
  85.5	0	11
  86.5	0	17
  87.5	0	17
  88.5	0	12
  89.5	0	15
  90.5	1	11
  91.5	0	21
  92.5	0	31
  93.5	1	16
  94.5	0	11
  95.5	1	14
  96.5	0	12
  97.5	0	10.5
  98.5	0	14
  99.5	0	9
