Most significant genomic positions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,Diff,,,,Apv,,,,Pk,,,,,,,LeftGene,Distance,Start,End,Strand,Product,RightGene,Distance,Start,End,Strand,Product,AffyLogC Left,,,,,,,AffyLogC Right,,,,,,
,∆whiH::whiH-FLAG/FLAG 14,∆whiH::whiH-FLAG/FLAG 17,∆whiH::whiH-FLAG/FLAG 20,∆whiH::whiH-FLAG/FLAG 38,WT,apv.FLAGAb14,apv.FLAGAb17,apv.FLAGAb20,apv.FLAGAb38,apv.WT,pk.FLAGAb14,pk.FLAGAb17,pk.FLAGAb20,pk.FLAGAb38,pk.WT,,,,,,,,,,,,,d8,d10,d12,d14,d16,d18,d20,d8,d10,d12,d14,d16,d18,d20
1438525,0.0753089797,0.0342175155,0.0403411603,0.1650092029,-0.0021043363,3.51E-69,1.36E-26,1.00E-43,0,1,1,1,1,1,0,SVEN_1277,23,1437801,1438502,-1,"Transcriptional regulator, GntR family",SVEN_1278,125,1438650,1439177,1,Gluconokinase,0.0233770075,-0.0375518971,-0.0490320231,0.0536149602,-0.0323158986,-0.0217610815,-0.0685958252,0.0490543916,0.0022490344,0.2544693982,-0.0086977019,0.0270463217,0.0306531989,-0.0357113197
1483575,0.1081033712,0.0440517415,0.0487224606,0.19752475,-0.0034132887,5.97E-146,2.26E-46,2.50E-65,0,1,1,1,1,1,0,SVEN_1324,22,1482918,1483553,-1,hypothetical protein,-,-,-,-,-,-,-0.6729788596,-0.1937653993,0.8181212457,1.6354134977,0.5787657654,2.3302226435,2.7831914967,-,-,-,-,-,-,-
1813075,0.0259897796,0.1163768566,0.0263796489,0.1465528314,0.0044613593,4.65E-05,0,1.11E-16,4.89E-254,1,1,1,1,1,0,-,-,-,-,-,-,SVEN_1625,14,1813089,1815791,1,ATP-dependent RNA helicase,-,-,-,-,-,-,-,-0.1711845664,-0.1346477869,0.0836624066,0.1547786922,0.3153493356,0.2281149399,0.07439589
3340175,0.1568215721,0.1130703585,0.0844344088,0.1760146122,-0.0045638688,0,0,1.17E-202,0,1,1,1,1,1,0,SVEN_3050,75,3338880,3340100,-1,"Glycosyl transferase, group 2 family protein",SVEN_3051,92,3340267,3341442,1,Flagellar hook-length control protein FliK,0.0668903635,-0.0424383595,-0.0709187817,-0.0762357429,0.0147803813,-0.0134833448,-0.0316939482,-0.1332514765,0.143959245,-0.0110346002,-0.4836779091,-0.6067545629,1.9934125115,1.3402882931
3765675,0.1067009868,0.1034764754,0.0853447944,0.1800168417,-0.0046069822,4.15E-142,8.32E-271,4.05E-207,0,1,1,1,1,1,0,SVEN_3448,-2,3764790,3765677,-1,LysR-family transcriptional regulatory protein,SVEN_3449,248,3765923,3766558,1,isomerase,-0.0369047585,0.0696329401,0.2228379504,-0.008859782,0.0267935571,-0.0675419479,-0.1280812814,0.0513183348,0.0469018904,-0.1974353566,-0.0954858562,0.1539517606,0.1008102441,-0.238222611
4021575,0.1041244529,0.0991756827,0.0472876409,0.1629631869,-0.0061475817,3.53E-135,1.64E-248,2.41E-61,0,1,1,1,1,1,0,-,-,-,-,-,-,SVEN_3707,1208,4022783,4024576,1,Thiamin biosynthesis protein ThiC,-,-,-,-,-,-,-,-0.3504223845,-0.1243719025,0.6264487843,-0.5630616769,-0.466412359,-0.1296567874,-0.5231264429
4990825,0.1558370036,0.0333194754,0.0666742448,0.1354754033,-0.0011228162,0,4.95E-25,3.45E-125,1.22E-216,1,1,1,1,1,0,SVEN_4634,112,4989373,4990713,-1,hypothetical protein,SVEN_4635,44,4990869,4992512,1,putative secreted protein,-0.1157097395,0.0049455924,-0.7446332581,-0.7152221648,-0.5988999788,-0.2763907799,-0.284349513,0.1322702881,0.0508750037,-0.1331567958,0.3479836108,-0.5162135776,1.3771373687,1.7373707025
5370500,0.0741569512,0.0685570305,0.0282205266,0.1647601076,-0.0006172842,5.57E-67,4.35E-117,1.31E-19,0,1,1,1,1,1,0,SVEN_4989,-4,5369059,5370504,-1,secreted protein,-,-,-,-,-,-,-0.0346695905,0.0107907294,-0.1535087455,-0.0072812775,-0.0372056061,0.6281741776,0.4915555255,-,-,-,-,-,-,-
5521450,0.0644940958,0.1062936852,0.05127161,0.1813985429,7.85E-07,7.49E-50,6.36E-286,1.06E-72,0,1,1,1,1,1,0,-,-,-,-,-,-,SVEN_5114,137,5521587,5522840,1,putative lipoprotein,-,-,-,-,-,-,-,-0.3140897302,-0.0118727426,0.7585107879,0.7748809216,0.7815788856,0.512109254,0.326611892
7470575,0.0906484332,0.0584848934,0.0541678883,0.158313217,0.0010732671,1.09E-101,2.57E-84,1.58E-81,5.99E-297,1,1,1,1,1,0,SVEN_6821,232,7469786,7470343,-1,"RNA polymerase sigma-70 factor, ECF subfamily",SVEN_6822,50,7470625,7471845,1,putative lipoprotein,0.1076168136,0.1336374131,0.2147275678,0.145267419,0.1478890799,0.0115867618,-0.0085996729,0.0941417805,0.1672070856,0.195917791,-0.3134794389,-0.7843554317,-0.0656814762,0.0272507692
1574875,0.1452885362,0.0485333776,0.0659374925,0.1554614712,-0.0002678293,4.52E-266,5.11E-57,2.28E-122,3.07E-286,1,1,1,1,1,0,SVEN_1408,99,1572764,1574776,-1,putative regulatory protein,-,-,-,-,-,-,0.0041298663,0.1353051203,0.1148986068,-0.3051092211,-0.493593601,1.084003005,0.8199416306,-,-,-,-,-,-,-
1538675,0.1098065856,0.0585683185,0.0765181941,0.1546501805,0.0006318675,1.10E-150,1.45E-84,6.94E-166,3.15E-283,1,1,1,1,1,0,SVEN_1371,140,1537282,1538535,-1,putative regulator,SVEN_1372,184,1538859,1539293,1,hypothetical protein,0.024515215,-0.3222280124,0.3739337131,0.0145740218,-0.0253702487,-0.0560651245,0.1180972304,0.7014651848,0.0381512984,0.1166008009,0.0261349985,-0.4482345993,0.2887827474,0.7793640542
284475,0.0654637627,0.0978967128,0.0506086215,0.1538760496,0.0004172616,1.83E-51,4.60E-242,9.53E-71,2.27E-280,1,1,1,1,1,0,-,-,-,-,-,-,SVEN_0269,78,284553,286739,1,hypothetical protein,-,-,-,-,-,-,-,0.1310626259,-0.1245116894,-3.140464552,-4.0377925355,-4.0118923673,-3.8068356515,-2.8555839444
