gene tag	gene_old_tag	gene_start	gene_end	strand	product	closest_match	match_index	match_value	distance	affyLog_8h	affyLog_10h	affyLog_12h	affyLog_14h	affyLog_16h	affyLog_18h	affyLog_20h
SVEN_0001	SMD00402	67	657	-	hypothetical protein	0				0.3581684496666657	0.4357474449999996	-0.053856430999999816	-0.4622171763333327	-0.239871777666667	0.6412367893333331	2.1903922183333346
SVEN_0002	SMD00402.3	166	396	+	hypothetical protein	0				-0.008151714000000254	0.03458390033333281	-0.25654684033333375	-0.038154999333332995	-0.6196825343333332	-0.035581345333333125	0.7684178880000001
SVEN_0003	SMD00402.4	478	696	+	hypothetical protein	0										
SVEN_0004	SMD00403	1064	1678	+	hypothetical protein	0				0.040972919333333024	0.18358136833333472	-0.02090619166666663	0.04043259699999968	0.041024608999999046	-0.08772247733333405	0.13528140116666698
SVEN_0005	SMD00404	1987	2235	+	putative IS6 family transposase	0				0.059808728000000144	-0.033098637666665987	-0.08197235133333347	-0.05021357300000062	0.017628737999999977	0.03260948933333285	-0.038298071499999864
SVEN_0006	SMD00406	2368	2784	+	hypothetical protein	0				0.16947169433333276	0.3113744573333328	-0.017360533666667344	0.046748232000001444	0.029096256333334125	0.06376605466666607	0.20216182166666652
SVEN_0007	SMD00406.2	2854	3025	+	insertion sequence IS100%2C ATP-binding protein	0				0.0213481066666672	0.13625467633333255	0.08819447033333461	-0.14363707899999945	0.03216636133333317	0.01668514466666604	0.23196385916666618
SVEN_0008	SMD00408	3167	3613	+	ISPsy4%2C transposition helper protein	0				0.018679856000000328	0.015068255333332559	0.05060239099999908	0.057357768666665976	-0.027304714333333813	-0.004821206666665745	-0.03810856433333232
SVEN_0009	SMD00409	3679	4167	-	hypothetical protein	0				-0.014743848333333531	0.056951874666666846	0.014324064000000192	-0.013273057666666865	-0.029994205000000385	0.014055502999999803	0.0648453386666672
SVEN_0010	SMD00411	4238	4984	-	hypothetical protein	0				0.062402918333333446	0.06623989000000119	-0.08146026333333278	-0.030926132666666994	0.023829094666666606	-0.021382447333333943	-0.006594291333333224
SVEN_0011	SMD00413	5332	6351	+	3-oxoacyl-[acyl-carrier protein] reductase	0				0.3616880636666666	0.4317120833333341	0.08698682966666738	0.06436581299999933	0.08255444033333337	0.047620992666667306	0.3351007558333343
SVEN_0012	SMD00414	6354	6812	+	hypothetical protein	0				0.08389213299999998	0.031898905333333616	0.2225658769999992	0.08466234000000039	-0.0071236410000006245	0.018425528333334107	0.0690771331666662
SVEN_0013	SMD00416	6829	8430	+	Beta-carotene ketolase	0				0.08407539266666575	0.1402449653333333	0.0575551963333325	0.04777225833333443	-0.016670034333333916	0.04010567699999967	-0.01873792733333346
SVEN_0014	SMD00418	8493	9023	+	Phosphoesterase	0				-0.08859977533333296	0.04769258933333376	0.03525454899999936	0.07041969966666617	0.021718206666665907	0.030008269333333004	0.08533993749999969
SVEN_0015	SMD00419	9393	9890	+	RNA polymerase ECF-subfamily sigma factor	0				0.364273284666667	0.0581717693333319	0.06231137533333264	-0.07003112799999922	0.104847787333334	-0.005666105666667143	0.10122730983333295
SVEN_0016	SMD00421	10692	11522	+	hypothetical protein	0				0.11990668566666596	0.05207941333333199	-0.05516298900000116	0.029690106333333688	0.04539437599999996	0.012593407333334028	0.20759289516666612
SVEN_0017	SMD00421.3	11525	11794	+	Membrane spanning protein	0				0.004249166666665971	-0.02420018433333393	0.008284528333333263	0.0002589036666664768	0.0909006330000004	0.06824241799999964	0.16386995066666632
SVEN_0018	SMD00423	11921	12580	+	hypothetical protein	0				0.23570990566666694	-0.32842815466666675	0.0052064290000002345	-0.4296729386666671	0.06915910266666714	0.022794485333332837	0.044229325499999916
SVEN_0019	SMD00424	12763	14421	-	protein kinase	0				0.10735747299999954	0.139924332333333	0.10272556833333368	0.006126099666666107	0.06941096500000121	0.1600547869999991	0.2986593451666666
SVEN_0020	SMD00425	14606	15094	+	hypothetical protein	0				0.0009933550000011948	-0.2110913313333329	-1.268468099333333	0.02546416100000215	0.1147487423333331	0.03891321833333272	1.4607699324999999
SVEN_0021	SMD00425.3	15170	15421	+	hypothetical protein	0				-0.103397717	0.3478559703333346	-0.2512826833333328	0.39669336433333413	0.18651866066666667	0.5488588630000004	0.46099287916666665
SVEN_0022	SMD00426.2	15817	16182	+	hypothetical protein	0				0.06568565466666776	0.034266674000000386	-0.05284154666666652	-0.0008523070000006072	0.14467788299999995	0.15394505500000033	0.3081093355000002
