"gene.tag"	"gene_old_tag"	"gene_start"	"gene_end"	"strand"	"product"	"closest_match"	"match_index"	"match_value"	"distance"	"affyLog_14h"
"SVEN_1324"	"SMD02318"	1482918	1483553	"-"	"hypothetical protein"	"1"	1	14.086	47	1.76106996233333
"SVEN_4492"	"SMD06886"	4847341	4848108	"-"	"hypothetical protein"	"1"	155	10.6452	47	1.76045717666667
"SVEN_5469"	"SMD08247"	5929822	5932236	"+"	"GTP pyrophosphokinase%2C (p)ppGpp synthetase I"	"1"	283	10.2151	118	1.65064029566667
"SVEN_1935"	"SMD03209"	2148860	2150338	"-"	"Probable glutamate or gamma-aminobutyrate antiporter"	"1"	95	11.0108	87	0.812223961333334
"SVEN_1909"	"SMD03174"	2127691	2129661	"+"	"hypothetical protein"	"1"	99	10.9892	183	0.725155325666666
"SVEN_1452"	"SMD02500"	1622851	1629339	"-"	"hypothetical protein"	"1"	45	11.5591	207	0.553164019
"SVEN_4169"	"SMD06428"	4512926	4513621	"+"	"hypothetical protein"	"1"	231	10.3333	14	0.546558712666667
"SVEN_4635"	"SMD07086"	4990869	4992512	"+"	"putative secreted protein"	"1"	121	10.8495	42	0.358484577000001
"SVEN_4657"	"SMD07112"	5011596	5012297	"-"	"Predicted membrane protein hemolysin III"	"1"	111	10.8925	92	0.321221206000001
"SVEN_3944"	"SMD06069"	4286597	4287013	"-"	"putative lyase"	"1"	263	10.2688	2	0.289272956333335
"SVEN_1017"	"SMD01838"	1160057	1160647	"+"	"hypothetical protein"	"1"	5	12.8065	23	0.245782307000002
"SVEN_5340"	"SMD08069"	5769625	5772303	"+"	"ATP or GTP-binding protein"	"1"	193	10.4516	248	0.213532008666667
"SVEN_7260"	"SMD10738"	7988264	7988809	"+"	"hypothetical protein"	"1"	67	11.3763	62	0.190290099666666
"SVEN_4909"	"SMD07462"	5287725	5288138	"-"	"putative anti-sigma factor"	"1"	61	11.4839	297	0.159902521000001
"SVEN_4894"	"SMD07444"	5270364	5271119	"+"	"Circumsporozoite protein"	"1"	13	12.2796	78	0.154416698333332
"SVEN_4227"	"SMD06509"	4571813	4572664	"+"	"Formyltetrahydrofolate deformylase"	"1"	255	10.2796	49	0.142342176666666
"SVEN_5976"	"SMD08951"	6506491	6506820	"+"	"Polyketide cyclase WhiE VII"	"1"	135	10.7527	246	0.138040345666667
"SVEN_4315"	"SMD06634"	4671433	4673412	"+"	"NADH-ubiquinone oxidoreductase chain L"	"1"	15	12.1613	46	0.137766696
"SVEN_4040"	"SMD06221"	4375040	4375405	"+"	"hypothetical protein"	"1"	307	10.129	2	0.128697146666665
"SVEN_4818"	"SMD07343"	5180859	5181725	"+"	"putative hydrolase"	"1"	141	10.7419	256	0.123829292
"SVEN_1625"	"SMD02776"	1813089	1815791	"+"	"ATP-dependent RNA helicase"	"1"	293	10.172	10	0.119756332
"SVEN_5590"	"SMD08418"	6079139	6079993	"-"	"transposase"	"1"	305	10.1398	17	0.114343303666667
"SVEN_7046"	"SMD10434"	7712707	7713921	"-"	"hypothetical protein"	"1"	289	10.1828	284	0.112395003
"SVEN_3109"	"SMD04852"	3408846	3410075	"+"	"acetyl-CoA acetyltransferase"	"1"	217	10.3656	18	0.111538297666666
"SVEN_6922"	"SMD10252"	7570332	7573088	"+"	"hypothetical protein"	"1"	273	10.2688	146	0.0949677869999999
"SVEN_3213"	"SMD05004"	3522024	3522695	"+"	"integral membrane protein"	"1"	131	10.7742	152	0.0936636289999999
"SVEN_2089"	"SMD03421"	2287403	2288266	"+"	"hypothetical protein"	"1"	191	10.4516	13	0.0892506063333336
"SVEN_3212"	"SMD05002"	3520953	3521873	"-"	"hypothetical protein"	"1"	131	10.7742	1	0.081326112666666
"SVEN_1016"	"SMD01835"	1159613	1160053	"-"	"Transcriptional regulator%2C AsnC family"	"1"	5	12.8065	19	0.0800913826666658
"SVEN_6976"	"SMD10333"	7632335	7633309	"-"	"Thioredoxin reductase"	"1"	197	10.4301	89	0.0615898659999994
"SVEN_3305"	"SMD05143"	3615125	3615769	"+"	"two-component system response regulator"	"1"	295	10.172	50	0.0572166583333349
"SVEN_0416"	"SMD00976"	443417	444391	"-"	"hypothetical protein"	"1"	27	11.7527	266	0.054027592333334
"SVEN_1799"	"SMD03022"	2005229	2006593	"-"	"hypothetical protein"	"1"	163	10.6237	116	0.0529608906666663
"SVEN_4252"	"SMD06543"	4601577	4603829	"-"	"secreted protein"	"1"	171	10.5806	157	0.0450798533333323
"SVEN_7004"	"SMD10377"	7663378	7664055	"+"	"hypothetical protein"	"1"	309	10.1183	157	0.0401216583333337
"SVEN_4081"	"SMD06290"	4420764	4421747	"+"	"putative Adenosine kinase"	"1"	277	10.2581	40	0.0294965369999991
"SVEN_3367"	"SMD05233"	3686666	3687424	"+"	"Cytochrome oxidase biogenesis protein Surf1"	"1"	315	10.1075	188	0.0290088686666659
"SVEN_5132"	"SMD07784"	5539056	5539619	"-"	"hypothetical protein"	"1"	125	10.8172	35	0.0218555533333333
"SVEN_4993"	"SMD07580"	5372984	5374093	"+"	"hypothetical protein"	"1"	123	10.8495	108	0.0182654576666668
"SVEN_7170"	"SMD10616"	7877215	7878588	"+"	"Beta-glucosidase"	"1"	323	10.1075	244	0.0126093666666662
"SVEN_0258"	"SMD00765"	271714	272655	"-"	"Fructokinase"	"1"	253	10.2796	139	0.00898657433333216
"SVEN_5728"	"SMD08600"	6212975	6213826	"+"	"site-specific recombinase%2C phage integrase family"	"1"	213	10.3763	197	0.00875612500000056
"SVEN_2734"	"SMD04312"	2982832	2984199	"+"	"Alpha-glucosides-binding periplasmic protein AglE precursor"	"1"	313	10.1075	221	0.00164181566666688
