gene	product	Total_all	8h_all	10h_all	12h_all	14h_all	16h_all	18h_all	20h_all	Total_fimo	8h_fimo	10h_fimo	12h_fimo	14h_fimo	16h_fimo	18h_fimo	20h_fimo	Total_pred	8h_pred	10h_pred	12h_pred	14h_pred	16h_pred	18h_pred	20h_pred	Total_chip	8h_chip	10h_chip	12h_chip	14h_chip	16h_chip	18h_chip	20h_chip
"SVEN_5498"	"Transcriptional regulator%2C GntR family"	27	2	3	4	5	6	4	3	1	0	0	0	0	1	0	0	16	2	2	2	3	3	2	2	10	0	1	2	2	2	2	1
"SVEN_4634"	"hypothetical protein"	25	2	0	5	5	6	4	3	2	0	0	1	0	1	0	0	14	2	0	2	3	3	2	2	9	0	0	2	2	2	2	1
"SVEN_4457"	"putative UDP-glucose or GDP-mannose dehydrogenase"	24	2	3	4	5	6	4	0	1	0	0	0	0	1	0	0	14	2	2	2	3	3	2	0	9	0	1	2	2	2	2	0
"SVEN_2614"	"hypothetical protein"	24	2	2	3	4	6	4	3	2	0	0	0	0	2	0	0	12	2	1	1	2	2	2	2	10	0	1	2	2	2	2	1
"SVEN_0269"	"hypothetical protein"	23	0	3	5	4	5	3	3	3	0	0	1	0	1	0	1	10	0	2	2	2	2	1	1	10	0	1	2	2	2	2	1
"SVEN_1277"	"Transcriptional regulator%2C GntR family"	20	0	3	4	0	6	4	3	1	0	0	0	0	1	0	0	11	0	2	2	0	3	2	2	8	0	1	2	0	2	2	1
"SVEN_4749"	"Fibrillarin"	18	0	3	4	0	7	4	0	2	0	0	0	0	2	0	0	9	0	2	2	0	3	2	0	7	0	1	2	0	2	2	0
"SVEN_4458"	"Glycerol-3-phosphate dehydrogenase"	17	0	3	4	0	6	4	0	1	0	0	0	0	1	0	0	9	0	2	2	0	3	2	0	7	0	1	2	0	2	2	0
"SVEN_2675"	"hypothetical protein"	17	2	3	0	4	5	3	0	1	0	0	0	0	1	0	0	12	2	2	0	3	3	2	0	4	0	1	0	1	1	1	0
"SVEN_4756"	"putative lipoprotein"	17	1	3	3	3	5	2	0	1	0	0	0	0	1	0	0	11	1	2	2	2	3	1	0	5	0	1	1	1	1	1	0
"SVEN_5277"	"hypothetical protein"	17	0	3	4	0	6	4	0	1	0	0	0	0	1	0	0	9	0	2	2	0	3	2	0	7	0	1	2	0	2	2	0
"SVEN_4452"	"Sporulation regulatory protein WhiD"	17	0	3	4	0	6	4	0	1	0	0	0	0	1	0	0	9	0	2	2	0	3	2	0	7	0	1	2	0	2	2	0
"SVEN_4658"	"Phosphoenolpyruvate carboxykinase"	16	2	0	3	3	5	0	3	4	0	0	1	0	2	0	1	12	2	0	2	3	3	0	2	0	0	0	0	0	0	0	0
"SVEN_2998"	"Substrate-specific component NikM of nickel ECF transporter or Additional substrate-specific component NikN of nickel ECF transporter"	16	2	2	2	3	4	0	3	1	0	0	0	0	1	0	0	10	2	1	1	2	2	0	2	5	0	1	1	1	1	0	1
"SVEN_4989"	"secreted protein"	16	2	2	3	4	5	0	0	1	0	0	0	0	1	0	0	8	2	1	1	2	2	0	0	7	0	1	2	2	2	0	0
"SVEN_4328"	"LSU ribosomal protein L33p"	16	1	3	0	3	4	2	3	2	0	0	0	0	1	0	1	9	1	2	0	2	2	1	1	5	0	1	0	1	1	1	1
"SVEN_5828"	"Uncharacterized protein Q1 colocalized with Q"	15	1	3	3	3	3	0	2	0	0	0	0	0	0	0	0	10	1	2	2	2	2	0	1	5	0	1	1	1	1	0	1
"SVEN_5854"	"hypothetical protein"	15	2	3	0	4	0	3	3	0	0	0	0	0	0	0	0	11	2	2	0	3	0	2	2	4	0	1	0	1	0	1	1
"SVEN_3713"	"Cytochrome d ubiquinol oxidase subunit I"	15	0	0	3	4	5	3	0	1	0	0	0	0	1	0	0	10	0	0	2	3	3	2	0	4	0	0	1	1	1	1	0
"SVEN_2562"	"membrane transport protein"	15	0	3	4	3	5	0	0	3	0	0	1	0	2	0	0	8	0	2	2	2	2	0	0	4	0	1	1	1	1	0	0
"SVEN_7286"	"putative secreted protein"	15	0	2	0	3	4	3	3	1	0	0	0	0	1	0	0	9	0	1	0	2	2	2	2	5	0	1	0	1	1	1	1
"SVEN_4493"	"hypothetical protein"	15	2	2	0	3	4	2	2	1	0	0	0	0	1	0	0	14	2	2	0	3	3	2	2	0	0	0	0	0	0	0	0
"SVEN_5968"	"Transcriptional regulator%2C TetR family"	14	2	2	0	3	3	2	2	0	0	0	0	0	0	0	0	14	2	2	0	3	3	2	2	0	0	0	0	0	0	0	0
"SVEN_2229"	"two-component system sensor kinase"	14	1	2	3	0	3	3	2	0	0	0	0	0	0	0	0	6	1	1	1	0	1	1	1	8	0	1	2	0	2	2	1
"SVEN_5829"	"Uroporphyrinogen III decarboxylase"	14	1	0	3	3	3	2	2	0	0	0	0	0	0	0	0	9	1	0	2	2	2	1	1	5	0	0	1	1	1	1	1
"SVEN_2213"	"Beta-glucosidase"	14	1	2	2	2	2	2	3	1	0	0	0	0	0	0	1	7	1	1	1	1	1	1	1	6	0	1	1	1	1	1	1
"SVEN_4847"	"Zinc metalloprotease"	14	1	0	3	3	3	2	2	0	0	0	0	0	0	0	0	9	1	0	2	2	2	1	1	5	0	0	1	1	1	1	1
"SVEN_4437"	"putative polysaccharide deacetylase"	14	2	0	0	4	4	4	0	0	0	0	0	0	0	0	0	8	2	0	0	2	2	2	0	6	0	0	0	2	2	2	0
"SVEN_4635"	"putative secreted protein"	14	0	3	5	0	6	0	0	2	0	0	1	0	1	0	0	7	0	2	2	0	3	0	0	5	0	1	2	0	2	0	0
"SVEN_4327"	"Cytosine deaminase"	14	0	3	3	3	3	2	0	0	0	0	0	0	0	0	0	9	0	2	2	2	2	1	0	5	0	1	1	1	1	1	0
"SVEN_0473"	"hypothetical protein"	14	0	3	3	3	3	2	0	0	0	0	0	0	0	0	0	9	0	2	2	2	2	1	0	5	0	1	1	1	1	1	0
"SVEN_0413"	"hypothetical protein"	13	2	2	2	0	3	2	2	0	0	0	0	0	0	0	0	13	2	2	2	0	3	2	2	0	0	0	0	0	0	0	0
"SVEN_3022"	"putative membrane protein"	13	1	3	3	3	3	0	0	0	0	0	0	0	0	0	0	9	1	2	2	2	2	0	0	4	0	1	1	1	1	0	0
"SVEN_6802"	"Aspartate 1-decarboxylase"	13	2	0	0	3	3	2	3	1	0	0	0	0	0	0	1	12	2	0	0	3	3	2	2	0	0	0	0	0	0	0	0
"SVEN_0938"	"hypothetical protein"	13	1	2	2	2	2	2	2	0	0	0	0	0	0	0	0	7	1	1	1	1	1	1	1	6	0	1	1	1	1	1	1
"SVEN_4755"	"hypothetical protein"	13	0	0	3	3	5	2	0	1	0	0	0	0	1	0	0	8	0	0	2	2	3	1	0	4	0	0	1	1	1	1	0
"SVEN_1283"	"Fumarate or succinate or L-aspartate dehydrogenases"	13	2	3	0	5	0	0	3	0	0	0	0	0	0	0	0	9	2	2	0	3	0	0	2	4	0	1	0	2	0	0	1
"SVEN_3050"	"Glycosyl transferase%2C group 2 family protein"	13	0	2	3	4	0	4	0	0	0	0	0	0	0	0	0	6	0	1	1	2	0	2	0	7	0	1	2	2	0	2	0
"SVEN_6822"	"putative lipoprotein"	13	0	0	0	4	5	4	0	1	0	0	0	0	1	0	0	6	0	0	0	2	2	2	0	6	0	0	0	2	2	2	0
"SVEN_3020"	"hypothetical protein"	13	0	2	2	2	2	2	3	1	0	0	0	0	0	0	1	6	0	1	1	1	1	1	1	6	0	1	1	1	1	1	1
"SVEN_6679"	"putative cytochrome P450 hydroxylase"	12	1	2	0	2	2	2	3	1	0	0	0	0	0	0	1	6	1	1	0	1	1	1	1	5	0	1	0	1	1	1	1
"SVEN_4066"	"hypothetical protein"	12	2	0	1	2	2	2	3	1	0	0	0	0	0	0	1	11	2	0	1	2	2	2	2	0	0	0	0	0	0	0	0
